data_type,id,name,address,lat,lng,cctv_purpose,cctv_count,cctv_pixel,install_ym,lamp_id,police_type,crime_year,crime_kill,crime_rob,crime_theft,crime_violence,lamp_type,dong_code,dong_name,sgg_code,is_gwanak
cctv,202632000000800047,서울특별시 관악구청,서울특별시 관악구 관악산공원 호수공원 #02,37.45887,126.9473,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800048,서울특별시 관악구청,서울특별시 관악구 맨발공원(대학동 208),37.46685,126.9443,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800049,서울특별시 관악구청,서울특별시 관악구 샘말공원#01 (대학길 129),37.46499,126.9384,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800050,서울특별시 관악구청,서울특별시 관악구 샘말공원#02 (대학길 129),37.46455,126.938,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800051,서울특별시 관악구청,서울특별시 관악구 난곡공원#01 (난곡로11길 40),37.46569,126.9171,기타,1.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
cctv,202632000000800052,서울특별시 관악구청,서울특별시 관악구 난곡공원#02 (난곡로11길 40),37.46595,126.9172,기타,1.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
cctv,202632000000800053,서울특별시 관악구청,서울특별시 관악구 난우공원#01 (법원단지5나길 76),37.47739,126.9227,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800054,서울특별시 관악구청,서울특별시 관악구 난우공원#02 (법원단지5나길 76),37.47771,126.9221,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800055,서울특별시 관악구청,서울특별시 관악구 선우공원#01(미성동 산 117-3),37.46879,126.913,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800056,서울특별시 관악구청,서울특별시 관악구 선우공원#01(미성동 산 117-3),37.46663,126.914,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800057,서울특별시 관악구청,서울특별시 관악구 신림6배수지공원#01 (난곡로26길 135),37.46823,126.9264,기타,1.0,200.0,,,,,,,,,,1162074500,삼성동,11620,True
cctv,202632000000800058,서울특별시 관악구청,서울특별시 관악구 신림6배수지공원#02 (난곡로26길 135),37.46833,126.9259,기타,3.0,200.0,,,,,,,,,,1162077500,난곡동,11620,True
cctv,202632000000800059,서울특별시 관악구청,서울특별시 관악구 봉천11배수지공원 (인헌길 169-21),37.46909,126.9699,기타,1.0,200.0,,,,,,,,,,1162062500,인헌동,11620,True
cctv,202632000000800060,서울특별시 관악구청,서울특별시 관악구 배수지공원(삼성동 1713-6),37.46331,126.9272,기타,1.0,200.0,,,,,,,,,,1162074500,삼성동,11620,True
cctv,202632000000800061,서울특별시 관악구청,서울특별시 관악구 상도근린공원#01(보라매동 산104-9),37.4889,126.9381,기타,1.0,200.0,,,,,,,,,,1162052500,보라매동,11620,True
cctv,202632000000800062,서울특별시 관악구청,서울특별시 관악구 상도근린공원#02(보라매동 산104-9),37.48935,126.9379,기타,1.0,200.0,,,,,,,,,,1162052500,보라매동,11620,True
cctv,202632000000800063,서울특별시 관악구청,서울특별시 관악구 상도근린공원#03(보라매동 산104-9),37.48929,126.9383,기타,1.0,200.0,,,,,,,,,,1162052500,보라매동,11620,True
cctv,202632000000800064,서울특별시 관악구청,서울특별시 관악구 중앙공원#01(봉천로41길 35),37.48438,126.9484,기타,1.0,200.0,,,,,,,,,,1162061500,중앙동,11620,True
cctv,202632000000800065,서울특별시 관악구청,서울특별시 관악구 중앙공원#02(봉천로41길 35),37.4843,126.9481,기타,1.0,200.0,,,,,,,,,,1162061500,중앙동,11620,True
cctv,202632000000800066,서울특별시 관악구청,서울특별시 관악구 관악산공원 피크닉숲 (대학동 210),37.46185,126.9479,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800067,서울특별시 관악구청,서울특별시 관악구 관악산공원 야외식물원 (대학동 210),37.4609,126.9481,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800068,서울특별시 관악구청,서울특별시 관악구 관악산공원 제1야영장 (대학동 210),37.45796,126.9464,기타,2.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800069,서울특별시 관악구청,서울특별시 관악구 관악산공원 제2야영장 (대학동 210),37.4556,126.9453,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
